dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-228.15013427
2.8,2.8,3.35,-228.1538081
2.8,2.8,3.9,-228.15557025
2.8,2.8,4.45,-228.15719909
2.8,2.8,5.0,-228.15969886
2.8,3.35,2.8,-228.15404897
2.8,3.35,3.35,-228.15733954
2.8,3.35,3.9,-228.15868259
2.8,3.35,4.45,-228.1597989
2.8,3.35,5.0,-228.16124374
2.8,3.9,2.8,-228.15665699
2.8,3.9,3.35,-228.15903142
2.8,3.9,3.9,-228.1598224
2.8,3.9,4.45,-228.16036554
2.8,3.9,5.0,-228.16111822
2.8,4.45,2.8,-228.15991594
2.8,4.45,3.35,-228.16089135
2.8,4.45,3.9,-228.16095084
2.8,4.45,4.45,-228.16115101
2.8,4.45,5.0,-228.16145337
2.8,5.0,2.8,-228.16462999
2.8,5.0,3.35,-228.16328869
2.8,5.0,3.9,-228.16219489
2.8,5.0,4.45,-228.16188013
2.8,5.0,5.0,-228.16194917
3.35,2.8,2.8,-228.15398564
3.35,2.8,3.35,-228.15740494
3.35,2.8,3.9,-228.15893435
3.35,2.8,4.45,-228.16021496
3.35,2.8,5.0,-228.16173818
3.35,3.35,2.8,-228.15731408
3.35,3.35,3.35,-228.16089863
3.35,3.35,3.9,-228.16225809
3.35,3.35,4.45,-228.16314027
3.35,3.35,5.0,-228.16422552
3.35,3.9,2.8,-228.15908559
3.35,3.9,3.35,-228.1623758
3.35,3.9,3.9,-228.1634945
3.35,3.9,4.45,-228.16417265
3.35,3.9,5.0,-228.1648399
3.35,4.45,2.8,-228.16122689
3.35,4.45,3.35,-228.16368816
3.35,4.45,3.9,-228.16438571
3.35,4.45,4.45,-228.16480684
3.35,4.45,5.0,-228.1652306
3.35,5.0,2.8,-228.16441282
3.35,5.0,3.35,-228.16539145
3.35,5.0,3.9,-228.16536123
3.35,5.0,4.45,-228.16544673
3.35,5.0,5.0,-228.16566483
3.9,2.8,2.8,-228.15655737
3.9,2.8,3.35,-228.15896921
3.9,2.8,3.9,-228.16000252
3.9,2.8,4.45,-228.16098566
3.9,2.8,5.0,-228.16215643
3.9,3.35,2.8,-228.15906261
3.9,3.35,3.35,-228.16236499
3.9,3.35,3.9,-228.16352708
3.9,3.35,4.45,-228.16429836
3.9,3.35,5.0,-228.16510371
3.9,3.9,2.8,-228.15990112
3.9,3.9,3.35,-228.16348439
3.9,3.9,3.9,-228.16468301
3.9,3.9,4.45,-228.16534344
3.9,3.9,5.0,-228.16593025
3.9,4.45,2.8,-228.16105536
3.9,4.45,3.35,-228.16438229
3.9,4.45,3.9,-228.1654442
3.9,4.45,4.45,-228.16599258
3.9,4.45,5.0,-228.16644265
3.9,5.0,2.8,-228.16305071
3.9,5.0,3.35,-228.16555535
3.9,5.0,3.9,-228.16621354
3.9,5.0,4.45,-228.1665668
3.9,5.0,5.0,-228.16688938
4.45,2.8,2.8,-228.15989684
4.45,2.8,3.35,-228.16081298
4.45,2.8,3.9,-228.16096687
4.45,2.8,4.45,-228.16143402
4.45,2.8,5.0,-228.16230379
4.45,3.35,2.8,-228.16121794
4.45,3.35,3.35,-228.16366741
4.45,3.35,3.9,-228.16438992
4.45,3.35,4.45,-228.1648971
4.45,3.35,5.0,-228.16548698
4.45,3.9,2.8,-228.16103695
4.45,3.9,3.35,-228.16435388
4.45,3.9,3.9,-228.16541146
4.45,3.9,4.45,-228.1659811
4.45,3.9,5.0,-228.1664778
4.45,4.45,2.8,-228.16117423
4.45,4.45,3.35,-228.16480162
4.45,4.45,3.9,-228.16596353
4.45,4.45,4.45,-228.16653239
4.45,4.45,5.0,-228.16696766
4.45,5.0,2.8,-228.16230627
4.45,5.0,3.35,-228.16567489
4.45,5.0,3.9,-228.16671246
4.45,5.0,4.45,-228.16720693
4.45,5.0,5.0,-228.16758144
5.0,2.8,2.8,-228.16493545
5.0,2.8,3.35,-228.16330826
5.0,2.8,3.9,-228.16212582
5.0,2.8,4.45,-228.16193624
5.0,2.8,5.0,-228.16232188
5.0,3.35,2.8,-228.16446737
5.0,3.35,3.35,-228.16538993
5.0,3.35,3.9,-228.1653336
5.0,3.35,4.45,-228.16546098
5.0,3.35,5.0,-228.16580375
5.0,3.9,2.8,-228.16302077
5.0,3.9,3.35,-228.16551223
5.0,3.9,3.9,-228.16615553
5.0,3.9,4.45,-228.16651367
5.0,3.9,5.0,-228.16688197
5.0,4.45,2.8,-228.16219597
5.0,4.45,3.35,-228.16561053
5.0,4.45,3.9,-228.16667564
5.0,4.45,4.45,-228.16718862
5.0,4.45,5.0,-228.16758013
5.0,5.0,2.8,-228.16215197
5.0,5.0,3.35,-228.16585423
5.0,5.0,3.9,-228.16703062
5.0,5.0,4.45,-228.16758069
5.0,5.0,5.0,-228.1679685
