dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-1581.04938003
2.8,2.8,3.35,-1581.05682551
2.8,2.8,3.9,-1581.05700557
2.8,2.8,4.45,-1581.0567101
2.8,2.8,5.0,-1581.0565173
2.8,3.35,2.8,-1581.05682551
2.8,3.35,3.35,-1581.06476549
2.8,3.35,3.9,-1581.06514914
2.8,3.35,4.45,-1581.06491022
2.8,3.35,5.0,-1581.06476354
2.8,3.9,2.8,-1581.05700556
2.8,3.9,3.35,-1581.06514913
2.8,3.9,3.9,-1581.06561964
2.8,3.9,4.45,-1581.06540952
2.8,3.9,5.0,-1581.06526903
2.8,4.45,2.8,-1581.0567101
2.8,4.45,3.35,-1581.06491022
2.8,4.45,3.9,-1581.06540952
2.8,4.45,4.45,-1581.06521172
2.8,4.45,5.0,-1581.0650742
2.8,5.0,2.8,-1581.05651729
2.8,5.0,3.35,-1581.06476354
2.8,5.0,3.9,-1581.06526903
2.8,5.0,4.45,-1581.0650742
2.8,5.0,5.0,-1581.06493688
3.35,2.8,2.8,-1581.05682551
3.35,2.8,3.35,-1581.06476549
3.35,2.8,3.9,-1581.06514914
3.35,2.8,4.45,-1581.06491022
3.35,2.8,5.0,-1581.06476354
3.35,3.35,2.8,-1581.06476549
3.35,3.35,3.35,-1581.07285409
3.35,3.35,3.9,-1581.07331261
3.35,3.35,4.45,-1581.0730994
3.35,3.35,5.0,-1581.07295786
3.35,3.9,2.8,-1581.06514913
3.35,3.9,3.35,-1581.07331261
3.35,3.9,3.9,-1581.07380482
3.35,3.9,4.45,-1581.07360417
3.35,3.9,5.0,-1581.07346453
3.35,4.45,2.8,-1581.06491022
3.35,4.45,3.35,-1581.0730994
3.35,4.45,3.9,-1581.07360417
3.35,4.45,4.45,-1581.07340955
3.35,4.45,5.0,-1581.07327174
3.35,5.0,2.8,-1581.06476354
3.35,5.0,3.35,-1581.07295786
3.35,5.0,3.9,-1581.07346453
3.35,5.0,4.45,-1581.07327174
3.35,5.0,5.0,-1581.07313461
3.9,2.8,2.8,-1581.05700556
3.9,2.8,3.35,-1581.06514913
3.9,2.8,3.9,-1581.06561964
3.9,2.8,4.45,-1581.06540952
3.9,2.8,5.0,-1581.06526903
3.9,3.35,2.8,-1581.06514913
3.9,3.35,3.35,-1581.07331261
3.9,3.35,3.9,-1581.07380482
3.9,3.35,4.45,-1581.07360417
3.9,3.35,5.0,-1581.07346453
3.9,3.9,2.8,-1581.06561964
3.9,3.9,3.35,-1581.07380482
3.9,3.9,3.9,-1581.0743089
3.9,3.9,4.45,-1581.07411315
3.9,3.9,5.0,-1581.07397422
3.9,4.45,2.8,-1581.06540952
3.9,4.45,3.35,-1581.07360417
3.9,4.45,3.9,-1581.07411315
3.9,4.45,4.45,-1581.07392008
3.9,4.45,5.0,-1581.07378213
3.9,5.0,2.8,-1581.06526903
3.9,5.0,3.35,-1581.07346453
3.9,5.0,3.9,-1581.07397422
3.9,5.0,4.45,-1581.07378213
3.9,5.0,5.0,-1581.07364484
4.45,2.8,2.8,-1581.0567101
4.45,2.8,3.35,-1581.06491022
4.45,2.8,3.9,-1581.06540952
4.45,2.8,4.45,-1581.06521172
4.45,2.8,5.0,-1581.0650742
4.45,3.35,2.8,-1581.06491022
4.45,3.35,3.35,-1581.0730994
4.45,3.35,3.9,-1581.07360417
4.45,3.35,4.45,-1581.07340955
4.45,3.35,5.0,-1581.07327174
4.45,3.9,2.8,-1581.06540952
4.45,3.9,3.35,-1581.07360417
4.45,3.9,3.9,-1581.07411315
4.45,3.9,4.45,-1581.07392008
4.45,3.9,5.0,-1581.07378213
4.45,4.45,2.8,-1581.06521172
4.45,4.45,3.35,-1581.07340955
4.45,4.45,3.9,-1581.07392008
4.45,4.45,4.45,-1581.07372782
4.45,4.45,5.0,-1581.07359013
4.45,5.0,2.8,-1581.0650742
4.45,5.0,3.35,-1581.07327174
4.45,5.0,3.9,-1581.07378213
4.45,5.0,4.45,-1581.07359013
4.45,5.0,5.0,-1581.07345287
5.0,2.8,2.8,-1581.05651729
5.0,2.8,3.35,-1581.06476354
5.0,2.8,3.9,-1581.06526903
5.0,2.8,4.45,-1581.0650742
5.0,2.8,5.0,-1581.06493688
5.0,3.35,2.8,-1581.06476354
5.0,3.35,3.35,-1581.07295786
5.0,3.35,3.9,-1581.07346452
5.0,3.35,4.45,-1581.07327174
5.0,3.35,5.0,-1581.07313461
5.0,3.9,2.8,-1581.06526903
5.0,3.9,3.35,-1581.07346453
5.0,3.9,3.9,-1581.07397422
5.0,3.9,4.45,-1581.07378213
5.0,3.9,5.0,-1581.07364484
5.0,4.45,2.8,-1581.0650742
5.0,4.45,3.35,-1581.07327174
5.0,4.45,3.9,-1581.07378213
5.0,4.45,4.45,-1581.07359013
5.0,4.45,5.0,-1581.07345287
5.0,5.0,2.8,-1581.06493688
5.0,5.0,3.35,-1581.07313462
5.0,5.0,3.9,-1581.07364483
5.0,5.0,4.45,-1581.07345287
5.0,5.0,5.0,-1581.07331593
