dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-1580.40220321
2.8,2.8,3.35,-1580.41260118
2.8,2.8,3.9,-1580.41380172
2.8,2.8,4.45,-1580.41387472
2.8,2.8,5.0,-1580.41382739
2.8,3.35,2.8,-1580.41260118
2.8,3.35,3.35,-1580.4235633
2.8,3.35,3.9,-1580.42500208
2.8,3.35,4.45,-1580.42514828
2.8,3.35,5.0,-1580.42515108
2.8,3.9,2.8,-1580.41380172
2.8,3.9,3.35,-1580.42500208
2.8,3.9,3.9,-1580.42655019
2.8,3.9,4.45,-1580.42673586
2.8,3.9,5.0,-1580.42675072
2.8,4.45,2.8,-1580.41387472
2.8,4.45,3.35,-1580.42514828
2.8,4.45,3.9,-1580.42673586
2.8,4.45,4.45,-1580.42693882
2.8,4.45,5.0,-1580.42696002
2.8,5.0,2.8,-1580.41382739
2.8,5.0,3.35,-1580.42515108
2.8,5.0,3.9,-1580.42675072
2.8,5.0,4.45,-1580.42696002
2.8,5.0,5.0,-1580.42698322
3.35,2.8,2.8,-1580.41260118
3.35,2.8,3.35,-1580.4235633
3.35,2.8,3.9,-1580.42500208
3.35,2.8,4.45,-1580.42514828
3.35,2.8,5.0,-1580.42515108
3.35,3.35,2.8,-1580.4235633
3.35,3.35,3.35,-1580.43469501
3.35,3.35,3.9,-1580.43622358
3.35,3.35,4.45,-1580.43640534
3.35,3.35,5.0,-1580.43642017
3.35,3.9,2.8,-1580.42500208
3.35,3.9,3.35,-1580.43622358
3.35,3.9,3.9,-1580.43779495
3.35,3.9,4.45,-1580.43799384
3.35,3.9,5.0,-1580.43801387
3.35,4.45,2.8,-1580.42514828
3.35,4.45,3.35,-1580.43640534
3.35,4.45,3.9,-1580.43799384
3.35,4.45,4.45,-1580.4382003
3.35,4.45,5.0,-1580.43822308
3.35,5.0,2.8,-1580.42515108
3.35,5.0,3.35,-1580.43642017
3.35,5.0,3.9,-1580.43801387
3.35,5.0,4.45,-1580.43822308
3.35,5.0,5.0,-1580.43824674
3.9,2.8,2.8,-1580.41380172
3.9,2.8,3.35,-1580.42500208
3.9,2.8,3.9,-1580.42655019
3.9,2.8,4.45,-1580.42673586
3.9,2.8,5.0,-1580.42675072
3.9,3.35,2.8,-1580.42500208
3.9,3.35,3.35,-1580.43622358
3.9,3.35,3.9,-1580.43779495
3.9,3.35,4.45,-1580.43799384
3.9,3.35,5.0,-1580.43801387
3.9,3.9,2.8,-1580.42655019
3.9,3.9,3.35,-1580.43779495
3.9,3.9,3.9,-1580.43937954
3.9,3.9,4.45,-1580.43958476
3.9,3.9,5.0,-1580.43960696
3.9,4.45,2.8,-1580.42673586
3.9,4.45,3.35,-1580.43799384
3.9,4.45,3.9,-1580.43958476
3.9,4.45,4.45,-1580.43979305
3.9,4.45,5.0,-1580.43981637
3.9,5.0,2.8,-1580.42675072
3.9,5.0,3.35,-1580.43801387
3.9,5.0,3.9,-1580.43960696
3.9,5.0,4.45,-1580.43981637
3.9,5.0,5.0,-1580.43984015
4.45,2.8,2.8,-1580.41387472
4.45,2.8,3.35,-1580.42514828
4.45,2.8,3.9,-1580.42673586
4.45,2.8,4.45,-1580.42693882
4.45,2.8,5.0,-1580.42696002
4.45,3.35,2.8,-1580.42514828
4.45,3.35,3.35,-1580.43640534
4.45,3.35,3.9,-1580.43799384
4.45,3.35,4.45,-1580.4382003
4.45,3.35,5.0,-1580.43822308
4.45,3.9,2.8,-1580.42673586
4.45,3.9,3.35,-1580.43799384
4.45,3.9,3.9,-1580.43958476
4.45,3.9,4.45,-1580.43979305
4.45,3.9,5.0,-1580.43981637
4.45,4.45,2.8,-1580.42693882
4.45,4.45,3.35,-1580.4382003
4.45,4.45,3.9,-1580.43979305
4.45,4.45,4.45,-1580.44000234
4.45,4.45,5.0,-1580.44002599
4.45,5.0,2.8,-1580.42696002
4.45,5.0,3.35,-1580.43822308
4.45,5.0,3.9,-1580.43981637
4.45,5.0,4.45,-1580.44002599
4.45,5.0,5.0,-1580.44004986
5.0,2.8,2.8,-1580.41382739
5.0,2.8,3.35,-1580.42515108
5.0,2.8,3.9,-1580.42675072
5.0,2.8,4.45,-1580.42696002
5.0,2.8,5.0,-1580.42698322
5.0,3.35,2.8,-1580.42515108
5.0,3.35,3.35,-1580.43642017
5.0,3.35,3.9,-1580.43801387
5.0,3.35,4.45,-1580.43822308
5.0,3.35,5.0,-1580.43824674
5.0,3.9,2.8,-1580.42675072
5.0,3.9,3.35,-1580.43801387
5.0,3.9,3.9,-1580.43960696
5.0,3.9,4.45,-1580.43981637
5.0,3.9,5.0,-1580.43984015
5.0,4.45,2.8,-1580.42696002
5.0,4.45,3.35,-1580.43822308
5.0,4.45,3.9,-1580.43981637
5.0,4.45,4.45,-1580.44002599
5.0,4.45,5.0,-1580.44004986
5.0,5.0,2.8,-1580.42698322
5.0,5.0,3.35,-1580.43824674
5.0,5.0,3.9,-1580.43984015
5.0,5.0,4.45,-1580.44004986
5.0,5.0,5.0,-1580.4400739
