dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-1380.92079261
2.8,2.8,3.35,-1380.92801199
2.8,2.8,3.9,-1380.9275361
2.8,2.8,4.45,-1380.9271929
2.8,2.8,5.0,-1380.92779049
2.8,3.35,2.8,-1380.92890624
2.8,3.35,3.35,-1380.9373808
2.8,3.35,3.9,-1380.93763881
2.8,3.35,4.45,-1380.93732829
2.8,3.35,5.0,-1380.93734922
2.8,3.9,2.8,-1380.92987623
2.8,3.9,3.35,-1380.93815854
2.8,3.9,3.9,-1380.93846253
2.8,3.9,4.45,-1380.93813965
2.8,3.9,5.0,-1380.93801744
2.8,4.45,2.8,-1380.93046716
2.8,4.45,3.35,-1380.93819081
2.8,4.45,3.9,-1380.93835038
2.8,4.45,4.45,-1380.93794134
2.8,4.45,5.0,-1380.93773814
2.8,5.0,2.8,-1380.93039309
2.8,5.0,3.35,-1380.93829076
2.8,5.0,3.9,-1380.93832894
2.8,5.0,4.45,-1380.93783286
2.8,5.0,5.0,-1380.93757653
3.35,2.8,2.8,-1380.92949585
3.35,2.8,3.35,-1380.93693505
3.35,2.8,3.9,-1380.9362635
3.35,2.8,4.45,-1380.93535018
3.35,2.8,5.0,-1380.93531524
3.35,3.35,2.8,-1380.93634764
3.35,3.35,3.35,-1380.94548915
3.35,3.35,3.9,-1380.94585645
3.35,3.35,4.45,-1380.94548906
3.35,3.35,5.0,-1380.94535736
3.35,3.9,2.8,-1380.9367087
3.35,3.9,3.35,-1380.94602681
3.35,3.9,3.9,-1380.94655798
3.35,3.9,4.45,-1380.94627514
3.35,3.9,5.0,-1380.94612921
3.35,4.45,2.8,-1380.93729722
3.35,4.45,3.35,-1380.94597334
3.35,4.45,3.9,-1380.94639652
3.35,4.45,4.45,-1380.94606884
3.35,4.45,5.0,-1380.94588183
3.35,5.0,2.8,-1380.93832737
3.35,5.0,3.35,-1380.9461467
3.35,5.0,3.9,-1380.94635809
3.35,5.0,4.45,-1380.94594955
3.35,5.0,5.0,-1380.94572438
3.9,2.8,2.8,-1380.93131732
3.9,2.8,3.35,-1380.93844319
3.9,2.8,3.9,-1380.93759385
3.9,2.8,4.45,-1380.93631093
3.9,2.8,5.0,-1380.93566495
3.9,3.35,2.8,-1380.93698806
3.9,3.35,3.35,-1380.94612406
3.9,3.35,3.9,-1380.9464844
3.9,3.35,4.45,-1380.9460591
3.9,3.35,5.0,-1380.94582451
3.9,3.9,2.8,-1380.93641966
3.9,3.9,3.35,-1380.9463735
3.9,3.9,3.9,-1380.94703994
3.9,3.9,4.45,-1380.94677599
3.9,3.9,5.0,-1380.94661264
3.9,4.45,2.8,-1380.93629888
3.9,4.45,3.35,-1380.94613436
3.9,4.45,3.9,-1380.94681277
3.9,4.45,4.45,-1380.94655261
3.9,4.45,5.0,-1380.94637957
3.9,5.0,2.8,-1380.9372725
3.9,5.0,3.35,-1380.94621845
3.9,5.0,3.9,-1380.94673007
3.9,5.0,4.45,-1380.94641737
3.9,5.0,5.0,-1380.9462223
4.45,2.8,2.8,-1380.93271652
4.45,2.8,3.35,-1380.93935563
4.45,2.8,3.9,-1380.93834293
4.45,2.8,4.45,-1380.93681528
4.45,2.8,5.0,-1380.93575113
4.45,3.35,2.8,-1380.93775368
4.45,3.35,3.35,-1380.94621655
4.45,3.35,3.9,-1380.94643679
4.45,3.35,4.45,-1380.94592881
4.45,3.35,5.0,-1380.94561013
4.45,3.9,2.8,-1380.93638946
4.45,3.9,3.35,-1380.94618304
4.45,3.9,3.9,-1380.94682797
4.45,3.9,4.45,-1380.94654221
4.45,3.9,5.0,-1380.94635512
4.45,4.45,2.8,-1380.93522758
4.45,4.45,3.35,-1380.9457046
4.45,4.45,3.9,-1380.94651987
4.45,4.45,4.45,-1380.94629032
4.45,4.45,5.0,-1380.9461211
4.45,5.0,2.8,-1380.9353632
4.45,5.0,3.35,-1380.9455845
4.45,5.0,3.9,-1380.94637025
4.45,5.0,4.45,-1380.94613212
4.45,5.0,5.0,-1380.94595884
5.0,2.8,2.8,-1380.93336065
5.0,2.8,3.35,-1380.94034178
5.0,2.8,3.9,-1380.93927237
5.0,2.8,4.45,-1380.93760142
5.0,2.8,5.0,-1380.9362745
5.0,3.35,2.8,-1380.93894985
5.0,3.35,3.35,-1380.94654855
5.0,3.35,3.9,-1380.94654708
5.0,3.35,4.45,-1380.94593669
5.0,3.35,5.0,-1380.94554336
5.0,3.9,2.8,-1380.93741875
5.0,3.9,3.35,-1380.94630755
5.0,3.9,3.9,-1380.94677326
5.0,3.9,4.45,-1380.94642303
5.0,3.9,5.0,-1380.94620276
5.0,4.45,2.8,-1380.93540172
5.0,4.45,3.35,-1380.94560744
5.0,4.45,3.9,-1380.94638216
5.0,4.45,4.45,-1380.94613551
5.0,4.45,5.0,-1380.94595686
5.0,5.0,2.8,-1380.93436173
5.0,5.0,3.35,-1380.9452337
5.0,5.0,3.9,-1380.94615511
5.0,5.0,4.45,-1380.94595031
5.0,5.0,5.0,-1380.94578596
