dist_1,dist_2,dist_3,E
2.8,2.8,2.8,-1380.27558263
2.8,2.8,3.35,-1380.2872315
2.8,2.8,3.9,-1380.28831468
2.8,2.8,4.45,-1380.28864979
2.8,2.8,5.0,-1380.28952146
2.8,3.35,2.8,-1380.28826957
2.8,3.35,3.35,-1380.30137303
2.8,3.35,3.9,-1380.30327334
2.8,3.35,4.45,-1380.3035738
2.8,3.35,5.0,-1380.30385096
2.8,3.9,2.8,-1380.29103444
2.8,3.9,3.35,-1380.30389749
2.8,3.9,3.9,-1380.30588773
2.8,3.9,4.45,-1380.30619452
2.8,3.9,5.0,-1380.30632042
2.8,4.45,2.8,-1380.2923796
2.8,4.45,3.35,-1380.30460403
2.8,4.45,3.9,-1380.30645369
2.8,4.45,4.45,-1380.3066935
2.8,4.45,5.0,-1380.30674948
2.8,5.0,2.8,-1380.29233537
2.8,5.0,3.35,-1380.30494412
2.8,5.0,3.9,-1380.30669713
2.8,5.0,4.45,-1380.30686435
2.8,5.0,5.0,-1380.30687223
3.35,2.8,2.8,-1380.28895671
3.35,2.8,3.35,-1380.30085935
3.35,2.8,3.9,-1380.30171592
3.35,2.8,4.45,-1380.30139374
3.35,2.8,5.0,-1380.30169772
3.35,3.35,2.8,-1380.3001815
3.35,3.35,3.35,-1380.3140879
3.35,3.35,3.9,-1380.3161376
3.35,3.35,4.45,-1380.31638318
3.35,3.35,5.0,-1380.31650097
3.35,3.9,2.8,-1380.30223566
3.35,3.9,3.35,-1380.31634413
3.35,3.9,3.9,-1380.31860903
3.35,3.9,4.45,-1380.31897022
3.35,3.9,5.0,-1380.31907733
3.35,4.45,2.8,-1380.30365973
3.35,4.45,3.35,-1380.31697137
3.35,4.45,3.9,-1380.31912257
3.35,4.45,4.45,-1380.31945466
3.35,4.45,5.0,-1380.31953133
3.35,5.0,2.8,-1380.30512465
3.35,5.0,3.35,-1380.31744493
3.35,5.0,3.9,-1380.31936045
3.35,5.0,4.45,-1380.31961493
3.35,5.0,5.0,-1380.31965635
3.9,2.8,2.8,-1380.29273966
3.9,2.8,3.35,-1380.30423208
3.9,2.8,3.9,-1380.30487764
3.9,2.8,4.45,-1380.304105
3.9,2.8,5.0,-1380.30370174
3.9,3.35,2.8,-1380.30258617
3.9,3.35,3.35,-1380.31646604
3.9,3.35,3.9,-1380.31851695
3.9,3.35,4.45,-1380.31870071
3.9,3.35,5.0,-1380.31869921
3.9,3.9,2.8,-1380.30351354
3.9,3.9,3.35,-1380.31838161
3.9,3.9,3.9,-1380.32080893
3.9,3.9,4.45,-1380.32119668
3.9,3.9,5.0,-1380.32128659
3.9,4.45,2.8,-1380.30409065
3.9,4.45,3.35,-1380.31879318
3.9,4.45,3.9,-1380.32124395
3.9,4.45,4.45,-1380.32165333
3.9,4.45,5.0,-1380.32174648
3.9,5.0,2.8,-1380.30557031
3.9,5.0,3.35,-1380.31917823
3.9,5.0,3.9,-1380.32143465
3.9,5.0,4.45,-1380.32179386
3.9,5.0,5.0,-1380.32186849
4.45,2.8,2.8,-1380.29505418
4.45,2.8,3.35,-1380.30598737
4.45,2.8,3.9,-1380.30644478
4.45,2.8,4.45,-1380.30537743
4.45,2.8,5.0,-1380.30446534
4.45,3.35,2.8,-1380.30424243
4.45,3.35,3.35,-1380.31728365
4.45,3.35,3.9,-1380.31917444
4.45,3.35,4.45,-1380.31927318
4.45,3.35,5.0,-1380.31917644
4.45,3.9,2.8,-1380.30421525
4.45,3.9,3.35,-1380.31886212
4.45,3.9,3.9,-1380.32126624
4.45,3.9,4.45,-1380.32163732
4.45,3.9,5.0,-1380.32170464
4.45,4.45,2.8,-1380.30352562
4.45,4.45,3.35,-1380.31899407
4.45,4.45,3.9,-1380.32160741
4.45,4.45,4.45,-1380.32205521
4.45,4.45,5.0,-1380.32215479
4.45,5.0,2.8,-1380.30401098
4.45,5.0,3.35,-1380.31914495
4.45,5.0,3.9,-1380.32172431
4.45,5.0,4.45,-1380.32216896
4.45,5.0,5.0,-1380.32226883
5.0,2.8,2.8,-1380.2958597
5.0,2.8,3.35,-1380.30738424
5.0,2.8,3.9,-1380.30781764
5.0,2.8,4.45,-1380.30659091
5.0,2.8,5.0,-1380.3053499
5.0,3.35,2.8,-1380.30591325
5.0,3.35,3.35,-1380.31796008
5.0,3.35,3.9,-1380.31960461
5.0,3.35,4.45,-1380.31959814
5.0,3.35,5.0,-1380.31941812
5.0,3.9,2.8,-1380.30576918
5.0,3.9,3.35,-1380.319303
5.0,3.9,3.9,-1380.32149702
5.0,3.9,4.45,-1380.32180248
5.0,3.9,5.0,-1380.32183629
5.0,4.45,2.8,-1380.30406394
5.0,4.45,3.35,-1380.31917755
5.0,4.45,3.9,-1380.32174176
5.0,4.45,4.45,-1380.32217423
5.0,4.45,5.0,-1380.32226528
5.0,5.0,2.8,-1380.30311777
5.0,5.0,3.35,-1380.31903016
5.0,5.0,3.9,-1380.3217713
5.0,5.0,4.45,-1380.3222564
5.0,5.0,5.0,-1380.32236756
